com.highstreet-technologies.ops4j.pax.web:pax-web-jetty;com.highstreet-technologies.ops4j.pax.web;pax-web-jetty
org.into-cps.vdmcheck.fmi3:ls-bus-model;org.into-cps.vdmcheck.fmi3;ls-bus-model
net.reevik:mikron;net.reevik;mikron
com.47deg:github4s_sjs1_2.12;com.47deg;github4s_sjs1_2.12
com.47deg:github4s_sjs1_3;com.47deg;github4s_sjs1_3
com.47deg:github4s_2.12;com.47deg;github4s_2.12
com.47deg:github4s_3;com.47deg;github4s_3
com.47deg:github4s_sjs1_2.13;com.47deg;github4s_sjs1_2.13
com.47deg:github4s_2.13;com.47deg;github4s_2.13
io.github.karimagnusson:kuzminki-ec-pekko_3;io.github.karimagnusson;kuzminki-ec-pekko_3
io.github.karimagnusson:kuzminki-ec-pekko_2.13;io.github.karimagnusson;kuzminki-ec-pekko_2.13
io.github.karimagnusson:kuzminki-ec-akka_2.13;io.github.karimagnusson;kuzminki-ec-akka_2.13
io.github.karimagnusson:kuzminki-ec-akka_3;io.github.karimagnusson;kuzminki-ec-akka_3
org.ekrich:stensorflow_native0.5.0-RC1_3;org.ekrich;stensorflow_native0.5.0-RC1_3
it.cnr.si:firmadigitale;it.cnr.si;firmadigitale
dev.petuska:kmdcx-icons;dev.petuska;kmdcx-icons
dev.petuska:kmdcx-icons-js;dev.petuska;kmdcx-icons-js
dev.petuska:kmdc-typography;dev.petuska;kmdc-typography
dev.petuska:kmdc-typography-js;dev.petuska;kmdc-typography-js
dev.petuska:kmdc;dev.petuska;kmdc
dev.petuska:kmdc-touch-target;dev.petuska;kmdc-touch-target
dev.petuska:kmdc-top-app-bar;dev.petuska;kmdc-top-app-bar
dev.petuska:kmdc-js;dev.petuska;kmdc-js
dev.petuska:kmdc-tooltip;dev.petuska;kmdc-tooltip
