br.com.perolasoftware.framework.components:jbpm-jsf-view-component;br.com.perolasoftware.framework.components;jbpm-jsf-view-component
br.com.perolasoftware.framework.components:jbpm-business-component;br.com.perolasoftware.framework.components;jbpm-business-component
br.com.perolasoftware.framework:aggregator-perola-components-jsfcomponents;br.com.perolasoftware.framework;aggregator-perola-components-jsfcomponents
br.com.perolasoftware.framework.components:framework-jsf2-bootstrap;br.com.perolasoftware.framework.components;framework-jsf2-bootstrap
br.com.perolasoftware.framework:aggregator-perola-components-crudextensions;br.com.perolasoftware.framework;aggregator-perola-components-crudextensions
br.com.perolasoftware.framework.components:crud-extensions-jsf2-primefaces;br.com.perolasoftware.framework.components;crud-extensions-jsf2-primefaces
br.com.perolasoftware.framework.components:crud-extensions-jsf2;br.com.perolasoftware.framework.components;crud-extensions-jsf2
br.com.perolasoftware.framework.components:crud-extensions-jpa2;br.com.perolasoftware.framework.components;crud-extensions-jpa2
br.com.perolasoftware.framework.components:crud-extensions;br.com.perolasoftware.framework.components;crud-extensions
br.com.perolasoftware.framework:aggregator-perola-components-annotation;br.com.perolasoftware.framework;aggregator-perola-components-annotation
br.com.perolasoftware.framework:aggrgator-perola-components-maven;br.com.perolasoftware.framework;aggrgator-perola-components-maven
br.com.perolasoftware.framework:aggregator-perola-framework-core;br.com.perolasoftware.framework;aggregator-perola-framework-core
br.com.perolasoftware.framework:framework-view;br.com.perolasoftware.framework;framework-view
br.com.perolasoftware.framework:framework-model;br.com.perolasoftware.framework;framework-model
br.com.perolasoftware.framework.components:annotation-filter-jpa2;br.com.perolasoftware.framework.components;annotation-filter-jpa2
br.com.perolasoftware.framework.components:component-parent-jar;br.com.perolasoftware.framework.components;component-parent-jar
br.com.perolasoftware.framework:framework-core;br.com.perolasoftware.framework;framework-core
